"id","name","mimeType","modifiedTime","parentId","path","depth","isFolder"
"1DA9GEZnObHRfQFWe2fV6nFCrYlCo1e1T","Product","application/vnd.google-apps.folder","2026-01-10T12:44:34.263Z","1KrnlcweSn78ZT_rJIWsZvzcBMj4qk675","/Drive/Delivery/Product","2","true"
"1NXIFTwGSCMs0UJPUwn2rYp3Ov7hO8rTv","Content","application/vnd.google-apps.folder","2026-01-06T15:17:35.047Z","17HDnpXKG2vsSJlSX7x_g2dnI5s4WR4yT","/Drive/Growth/Content Library/Content","3","true"
"1Rnd5p0624NYAcyxPvdS7CfkBXgiGeKns","Event Space partners","application/vnd.google-apps.folder","2026-01-09T08:49:09.296Z","1gVFdmxOf_munDLtBVNPFXVgpYOg7Qh5c","/Drive/Growth/Goals/Event Space partners","3","true"
"1y37_qIFPWFzcEfjRBO2uhPS2TucZAT1Z","Investor Readiness","application/vnd.google-apps.folder","2026-01-09T08:44:31.441Z","1gVFdmxOf_munDLtBVNPFXVgpYOg7Qh5c","/Drive/Growth/Goals/Investor Readiness","3","true"
"1CvwVBmIgssnYFhS8ixAaKz8rJovmCl3P","Goal - culture optimization.docx","application/vnd.openxmlformats-officedocument.wordprocessingml.document","2026-01-03T12:56:36.000Z","1gVFdmxOf_munDLtBVNPFXVgpYOg7Qh5c","/Drive/Growth/Goals/Goal - culture optimization.docx","3","false"
"1IoeKIksiWrOha5WhwHsn84KOUqHvhs3j","Royal Ministry","application/vnd.google-apps.folder","2026-01-09T07:02:02.124Z","16fVH1VDqawzleaiWwCq_c7DbBWej8S-4","/Drive/Growth/Partnerships/Clients//Royal Ministry","3","true"
"1tLpV_4rlAVQ2R31DGPzcLqAZCNaICC67","Trap N Poetry","application/vnd.google-apps.folder","2026-01-05T17:39:08.728Z","16fVH1VDqawzleaiWwCq_c7DbBWej8S-4","/Drive/Growth/Partnerships/Clients//Trap N Poetry","3","true"
"1YGd_I2szVPg9Ywh3dTH39wU7i6fRo9cd","Culture optimization# TRAP N POETRY- ARTIST DEVELOPMENT VERTICAL.docx","application/vnd.openxmlformats-officedocument.wordprocessingml.document","2026-01-03T13:14:54.000Z","16fVH1VDqawzleaiWwCq_c7DbBWej8S-4","/Drive/Growth/Partnerships/Clients//Culture optimization# TRAP N POETRY- ARTIST DEVELOPMENT VERTICAL.docx","3","false"
"1XSBGYry7jkzqdWpGO7f7EMn-WZfkSvzE","Culture optimization - ATLANTA HEALING COMMUNITY INTEGRATION.docx","application/vnd.openxmlformats-officedocument.wordprocessingml.document","2026-01-03T13:02:00.000Z","16fVH1VDqawzleaiWwCq_c7DbBWej8S-4","/Drive/Growth/Partnerships/Clients//Culture optimization - ATLANTA HEALING COMMUNITY INTEGRATION.docx","3","false"
"14f9sPmUkpPHCZSQCVjxB6g89WeGq9pP2XWjI0x0NDBQ","QS Append BUSINESS MODEL (Ecosystem/Network Layer)","application/vnd.google-apps.document","2026-01-09T18:02:23.331Z","1XuZ1nNew5C8G0ojQqYfiw0bjmkvjKNTj","/Drive/Growth/Strategy/QS Append BUSINESS MODEL (Ecosystem/Network Layer)","3","false"
"1tn4s9znf_KQ-ZIkfmFprqEPFP2A376YTJk_WkcVKTQo","Quantum Strategies - Value Strategy and Model","application/vnd.google-apps.document","2026-01-09T17:49:57.841Z","1XuZ1nNew5C8G0ojQqYfiw0bjmkvjKNTj","/Drive/Growth/Strategy/Quantum Strategies - Value Strategy and Model","3","false"
"1avRK_2Rx_vZeDR893k59GLMHzs3rwQgTK_-jhpKRmoc","The Quantum Strategies Full Funnel Master Plan","application/vnd.google-apps.document","2026-01-09T08:38:56.813Z","1XuZ1nNew5C8G0ojQqYfiw0bjmkvjKNTj","/Drive/Growth/Strategy/The Quantum Strategies Full Funnel Master Plan","3","false"
"1Z29FBHKgtsLwt7alw1ctM5UCRcaJX0a8","Activated visionary","application/vnd.google-apps.folder","2026-01-06T14:45:52.225Z","15WgY--jLJGlULwup3IydrlwjAp95Mt_A","/Drive/Growth/Events/Activated visionary","3","true"
"1tbCRMk5WUTuxbQS0Yqz0KyZ7HPS9Mnrz","Ritual dinner party","application/vnd.google-apps.folder","2026-01-06T14:45:52.219Z","15WgY--jLJGlULwup3IydrlwjAp95Mt_A","/Drive/Growth/Events/Ritual dinner party","3","true"
"1x6onnl1YF7Fye3z_2W7Kp1yyHAMjJu_L","The Ritual","application/vnd.google-apps.folder","2026-01-05T17:15:49.946Z","15WgY--jLJGlULwup3IydrlwjAp95Mt_A","/Drive/Growth/Events/The Ritual","3","true"
"1cU-fY1mLgjXxE3Zx9GHgL14QCaJUhcO-","Product PRDs (Shortcut)","application/vnd.google-apps.shortcut","2026-01-10T13:03:43.086Z","1l9P-V6hzFmR5UAmUN88pbZwBzLMNw85j","/Drive/Growth/Products/Product PRDs (Shortcut)","3","false"
"1n8m4KzL64A2Sy3xZfpgW3fO8C1PDxi0Z","DFY Offerings","application/vnd.google-apps.folder","2026-01-09T08:34:00.364Z","1l9P-V6hzFmR5UAmUN88pbZwBzLMNw85j","/Drive/Growth/Products/DFY Offerings","3","true"
"17qfHkUmEmqWm2om93ipLvtwEzFQzisOu","Affiliate System","application/vnd.google-apps.folder","2026-01-09T08:33:51.888Z","1l9P-V6hzFmR5UAmUN88pbZwBzLMNw85j","/Drive/Growth/Products/Affiliate System","3","true"
"1dg_vCtTL3otroH9NAeHEWCDlsSsk1csR","Tunneling","application/vnd.google-apps.folder","2026-01-09T07:42:09.359Z","1l9P-V6hzFmR5UAmUN88pbZwBzLMNw85j","/Drive/Growth/Products/Tunneling","3","true"
"1xBAG0Qm00Qk534PvT2XS2_wOdSi7BCLg","Strategic Partnership","application/vnd.google-apps.folder","2026-01-09T07:42:03.097Z","1l9P-V6hzFmR5UAmUN88pbZwBzLMNw85j","/Drive/Growth/Products/Strategic Partnership","3","true"
"163TITjLejb3nEIwv-tfPJFkm8lnUEibA","3 Rites products","application/vnd.google-apps.folder","2025-12-28T00:16:39.164Z","1l9P-V6hzFmR5UAmUN88pbZwBzLMNw85j","/Drive/Growth/Products/3 Rites products","3","true"
"1XD4b9bgv7vg3_AWU-C5_7EFs-hNPR8HV","Quantum business framework","application/vnd.google-apps.folder","2025-12-30T06:55:37.823Z","1oltATMMY8Sem_L3ghOJJo3zQ4vbMRsP0","/Drive/Growth/Brand/Quantum business framework","3","true"
"11C4YkmyLSSUeeW6Y6f99oB9c0-0M4RgzfSL3u_DYCqk","Quantum Strategies — Master Brand Tone Document","application/vnd.google-apps.document","2025-12-29T22:34:54.058Z","1oltATMMY8Sem_L3ghOJJo3zQ4vbMRsP0","/Drive/Growth/Brand/Quantum Strategies — Master Brand Tone Document","3","false"
"11ynCMyiKf00rGk4s-0FJb2CEo5q1AU2YQFU8lDuJsr8","Quantum Strategies — Core Definition","application/vnd.google-apps.document","2025-12-27T23:16:27.014Z","1oltATMMY8Sem_L3ghOJJo3zQ4vbMRsP0","/Drive/Growth/Brand/Quantum Strategies — Core Definition","3","false"
"1L2QBp8yHR6uH7N1WZX96glkpAPUaSmzUTAWArGnSMqk","Quantum Strategies - Lifecycle & Retention","application/vnd.google-apps.spreadsheet","2026-01-10T12:48:06.480Z","1wOV4hRCXqm4fPUhdeqmwixZlNVrUoV2C","/Drive/Operations/Lifecycle + Retention/Quantum Strategies - Lifecycle & Retention","3","false"
"1bJW_3QYOMM9qrVHMVtnkyTqIV4IYtNIudltX5PXkfIc","Quantum Strategies - PPC CNS","application/vnd.google-apps.spreadsheet","2026-01-10T12:48:04.609Z","1QXryagBme-0NBgYKQPlMsMJMBhUNkPiz","/Drive/Operations/PPC/Quantum Strategies - PPC CNS","3","false"
"1rTuGFZePZPV1PpC9bm7rcLs4nWXdr6zsb931OGH3rr8","Quantum Strategies - Customer CRM","application/vnd.google-apps.spreadsheet","2026-01-08T15:15:15.981Z","1MNWTXrQfifR5qgyumaSuviO7oKMF5EtK","/Drive/Operations/CRM + BI/Quantum Strategies - Customer CRM","3","false"
"18rlf7f9ZYAjOV0t94DYqf5Lf-JBE4NkOLo1unhw0xeg","Quantum Strategies - Content Index","application/vnd.google-apps.spreadsheet","2026-01-10T13:11:00.229Z","1RkmUpNax4veVAxSXe1wU8woRunnLXAa6","/Drive/Operations/Ops Control/Quantum Strategies - Content Index","3","false"
"1Xpf6Lt-XdDWqMkzjltmgX_EGnk6O0MHkwIzEN0Mq4wY","Quantum Strategies - Ops Control","application/vnd.google-apps.spreadsheet","2026-01-10T12:48:02.951Z","1RkmUpNax4veVAxSXe1wU8woRunnLXAa6","/Drive/Operations/Ops Control/Quantum Strategies - Ops Control","3","false"
"1BFzW-5BGSx4pXUUeEd8HOqkecF8Kfv9qLQWXrepCPkY","Quantum Strategies - Product Metrics","application/vnd.google-apps.spreadsheet","2026-01-10T13:03:42.507Z","1w-I92O2zS8LiEuyjMO306MI8XSWfgR5e","/Drive/Delivery/Product Metrics/Quantum Strategies - Product Metrics","3","false"
"1Ogvv88ciZ8ydvTtI0iXWFFvwCQB9XdQg","Deliverable Templates","application/vnd.google-apps.folder","2026-01-10T12:44:52.656Z","1DA9GEZnObHRfQFWe2fV6nFCrYlCo1e1T","/Drive/Delivery/Product/Deliverable Templates","3","true"
"1GtbqAbNTphredGVsdlRgjBK5Q3OR05gQ","Definitions","application/vnd.google-apps.folder","2026-01-10T12:44:35.384Z","1DA9GEZnObHRfQFWe2fV6nFCrYlCo1e1T","/Drive/Delivery/Product/Definitions","3","true"
"156pmYsz8xUNtGRTkdHiLwAhV1kQquNmM","PRDs","application/vnd.google-apps.folder","2026-01-10T12:44:34.790Z","1DA9GEZnObHRfQFWe2fV6nFCrYlCo1e1T","/Drive/Delivery/Product/PRDs","3","true"
"1SgZuYZJLEDrHVbw6SsxZpETkTEwd2swc","Waveforms Episodes","application/vnd.google-apps.folder","2025-12-27T23:23:47.533Z","1NXIFTwGSCMs0UJPUwn2rYp3Ov7hO8rTv","/Drive/Growth/Content Library/Content/Waveforms Episodes","4","true"
"1ei3G_NweRrgTc_pOOwCOqaO7h2kHBXUN","Video content","application/vnd.google-apps.folder","2025-12-22T14:19:55.660Z","1NXIFTwGSCMs0UJPUwn2rYp3Ov7hO8rTv","/Drive/Growth/Content Library/Content/Video content","4","true"
"1D4gGoZSuugx5plZczmSFx88Nyavgpj3mcU9m8sM-1-s","LUNAR RITUAL DINNERS: VENUE PARTNERSHIP PACKAGE","application/vnd.google-apps.document","2026-01-09T17:48:09.140Z","1Rnd5p0624NYAcyxPvdS7CfkBXgiGeKns","/Drive/Growth/Goals/Event Space partners/LUNAR RITUAL DINNERS: VENUE PARTNERSHIP PACKAGE","4","false"
"1oY78hLQdiWnME9XH2-3-uMQU9KJOjCPJHVhxienvn3k","INVESTOR-READY PACKAGE + STRATEGIC PARTNERSHIPS + GROWTH FLYWHEEL","application/vnd.google-apps.document","2026-01-09T17:47:37.442Z","1y37_qIFPWFzcEfjRBO2uhPS2TucZAT1Z","/Drive/Growth/Goals/Investor Readiness/INVESTOR-READY PACKAGE + STRATEGIC PARTNERSHIPS + GROWTH FLYWHEEL","4","false"
"1tVNljVCkGeq0NdDSzG0o2Js2ARZ_Q6bl5TLsOU2D3iw","Rama Ministries - Strategic Partnership Approach","application/vnd.google-apps.document","2026-01-09T07:32:49.475Z","1IoeKIksiWrOha5WhwHsn84KOUqHvhs3j","/Drive/Growth/Partnerships/Clients//Royal Ministry/Rama Ministries - Strategic Partnership Approach","4","false"
"1ImlkXoQP5qAvsU5YGriWH_Adpt9qyRxL","Call notes","application/vnd.google-apps.folder","2026-01-10T12:33:59.472Z","1tLpV_4rlAVQ2R31DGPzcLqAZCNaICC67","/Drive/Growth/Partnerships/Clients//Trap N Poetry/Call notes","4","true"
"1PY8CHTAbsxf0D39wlGNo8ZaWspO4yD5sAKEYroQIy-M","Trap n Poetry STRATEGIC PARTNERSHIP AGREEMENT","application/vnd.google-apps.document","2026-01-05T17:38:55.061Z","1tLpV_4rlAVQ2R31DGPzcLqAZCNaICC67","/Drive/Growth/Partnerships/Clients//Trap N Poetry/Trap n Poetry STRATEGIC PARTNERSHIP AGREEMENT","4","false"
"1iSZsouX9YFAiKkSi0b4xDWpwPi74JwZFBQTMFqWKO28","Trap and Poetry Offer","application/vnd.google-apps.document","2026-01-05T17:33:47.863Z","1tLpV_4rlAVQ2R31DGPzcLqAZCNaICC67","/Drive/Growth/Partnerships/Clients//Trap N Poetry/Trap and Poetry Offer","4","false"
"18HBhV-7RDelXfeNhUFER6P90hx0MTLN4","ACV - Event Media","application/vnd.google-apps.folder","2026-01-06T14:45:52.915Z","1Z29FBHKgtsLwt7alw1ctM5UCRcaJX0a8","/Drive/Growth/Events/Activated visionary/ACV - Event Media","4","true"
"1Spb7sONxoaD7zzdBuYNMUPfbVrZvAC3Z","Workshop","application/vnd.google-apps.folder","2026-01-05T17:15:24.579Z","1Z29FBHKgtsLwt7alw1ctM5UCRcaJX0a8","/Drive/Growth/Events/Activated visionary/Workshop","4","true"
"1j2-2vBwqp0f99KsH4P_9qL00VmJtZ3zM","RDP - Assets","application/vnd.google-apps.folder","2026-01-06T14:45:52.912Z","1tbCRMk5WUTuxbQS0Yqz0KyZ7HPS9Mnrz","/Drive/Growth/Events/Ritual dinner party/RDP - Assets","4","true"
"1nrfBLFxqQX2-DGXMVjPsd5r3aIFPbtcB","RITUAL DINNER PARTY ITINERARY.docx","application/vnd.openxmlformats-officedocument.wordprocessingml.document","2026-01-01T23:08:56.000Z","1tbCRMk5WUTuxbQS0Yqz0KyZ7HPS9Mnrz","/Drive/Growth/Events/Ritual dinner party/RITUAL DINNER PARTY ITINERARY.docx","4","false"
"1aRSAdMD0LoP7e1SteN2r5DOV4Y5kDIQW","Dinner Parties.html","text/html","2025-12-27T21:06:42.000Z","1tbCRMk5WUTuxbQS0Yqz0KyZ7HPS9Mnrz","/Drive/Growth/Events/Ritual dinner party/Dinner Parties.html","4","false"
"1ROfjSLbDDLkbuT3Epoaa_daCCsLtRDF3","RITUAL DINNER PARTY BRIEFING.docx","application/vnd.openxmlformats-officedocument.wordprocessingml.document","2025-12-27T21:03:56.000Z","1tbCRMk5WUTuxbQS0Yqz0KyZ7HPS9Mnrz","/Drive/Growth/Events/Ritual dinner party/RITUAL DINNER PARTY BRIEFING.docx","4","false"
